RI Zone,District,Club Name,Club Status,Current Member Count,Club ID,Total Rotaract Sponsored,Total Interact Sponsored
Zone 5,2981,Srimushnam,Active,16,90962,1,0
Zone 5,2981,Tankcity Tiruvarur,Active,25,65756,0,0
Zone 5,2981,Thanjavur,Active,73,15890,0,0
Zone 5,2981,Thanjavur Big Temple,Active,52,83401,0,0
Zone 5,2981,Thanjavur Cauvery,Active,71,52268,0,0
Zone 5,2981,Thanjavur Cosmos,Active,21,86709,2,0
Zone 5,2981,Thanjavur Delta,Active,45,70635,0,0
Zone 5,2981,Thanjavur East,Active,21,222297,0,0
Zone 5,2981,Thanjavur Emperors,Active,34,87965,0,0
Zone 5,2981,Thanjavur Galaxy,Active,29,223453,0,0
Zone 5,2981,Thanjavur Granary,Active,76,84062,2,0
Zone 5,2981,Thanjavur Heritage,Active,25,223225,1,0
Zone 5,2981,Thanjavur Kings,Active,53,70038,1,0
Zone 5,2981,Thanjavur Kundhavai,Active,19,224186,0,0
Zone 5,2981,Thanjavur Majestic City,Active,35,227138,0,0
Zone 5,2981,Thanjavur Mid-Town,Active,50,21423,1,0
Zone 5,2981,Thanjavur Newtown,Active,25,30693,0,0
Zone 5,2981,Thanjavur Warriors,Active,47,227180,0,0
Zone 5,2981,Thirumullaivasal,Active,20,86514,0,0
Zone 5,2981,Thiruvaiyaru,Active,32,52062,1,0
Zone 5,2981,Thiruvarur Mid Town,Active,4,89623,0,0
Zone 5,2981,Thiruvonam,Active,20,228204,0,0
Zone 5,2981,Tiruthuraipoondi Delta,Active,53,83301,0,0
Zone 5,2981,Tiruturaipoondi,Active,61,22737,0,0
Zone 5,2981,Tiruvarur,Active,100,15895,0,0
Zone 5,2981,Ullikkottai,Active,15,227823,0,0
Zone 5,2981,Vadalur,Active,30,90930,1,0
Zone 5,2981,Vadalur Central,Active,21,223112,1,0
Zone 5,2981,Vailankanni,Active,78,78717,0,0
Zone 5,2981,Valangaiman,Active,26,67017,0,0
Zone 5,2981,Vedaraniam,Active,45,28304,0,0
Zone 5,2981,Veeranam Lake City,Active,28,222261,0,0
Zone 5,2981,Velankanni Green City,Active,75,226965,0,0
Zone 5,2981,Veppur,Active,38,89389,0,0
Zone 5,2981,Vijayapuram,Active,39,223393,0,0
Zone 5,2981,Virudhachalam Elite,Active,30,87693,0,0
Zone 5,2981,Vridhachalam,Active,70,30619,1,0
Zone 5,2982,Attur Central,Active,17,225895,0,0
Zone 5,2982,Dharmapuri,Active,64,15847,0,0
Zone 5,2982,Dharmapuri Elite,Active,48,89172,1,0
Zone 5,2982,Dharmapuri Mid Town,Active,56,57244,0,0
Zone 5,2982,Dharmapuri Phoenix,Active,31,227924,0,0
Zone 5,2982,Elampillai,Active,45,224714,0,0
Zone 5,2982,Gingee Fort,Active,39,52229,0,0
Zone 5,2982,Harur,Active,24,225921,0,0
Zone 5,2982,Hosur Lake View,Active,17,83284,0,0
Zone 5,2982,Hosur Royals,Active,16,226202,0,0
Zone 5,2982,Hosur Sipcot,Active,64,81300,1,0
Zone 5,2982,Jalakandapuram,Active,48,83106,3,0
Zone 5,2982,Kaveripatnam,Active,28,83660,0,0
Zone 5,2982,Maa-Nagar Krishnagiri,Active,39,80154,0,0
Zone 5,2982,Mettur Grand,Active,32,226322,1,0
Zone 5,2982,Mohanur,Active,44,83285,0,0
Zone 5,2982,Namakkal Educational City,Active,33,83386,0,0
Zone 5,2982,Namakkal Elite,Active,31,82879,0,0
Zone 5,2982,Namakkal Evergreen City,Active,47,87629,1,0
Zone 5,2982,Namakkal Heritage,Active,51,90910,0,0
Zone 5,2982,Namakkal Kings,Active,47,227262,0,0
Zone 5,2982,Namakkal (Salem),Active,93,15873,0,0
Zone 5,2982,Namakkal Transport City,Active,77,82836,0,0
Zone 5,2982,Rasipuram Royal,Active,56,89524,0,0
Zone 5,2982,Salem City,Active,39,227402,1,0
Zone 5,2982,Salem Divine Hearts,Active,10,227328,0,0
Zone 5,2982,Salem East,Active,28,31340,0,0
Zone 5,2982,Salem Elite,Active,57,86597,0,0
Zone 5,2982,Salem Evergreen,Active,39,88871,0,0
Zone 5,2982,Salem Fort,Active,42,82679,0,0
Zone 5,2982,Salem Happy,Active,46,226427,1,0
Zone 5,2982,Salem Harmony,Active,32,227590,0,0
Zone 5,2982,Salem Hillcity,Active,41,88115,0,0
Zone 5,2982,Salem Majestic,Active,37,89917,0,0
Zone 5,2982,Salem North,Active,38,15886,0,0
Zone 5,2982,Salem Power Grand,Active,11,88177,0,0
Zone 5,2982,Salem Royal Crown,Active,7,227955,0,0
Zone 5,2982,Salem Rupavati,Active,25,90915,0,0
Zone 5,2982,Salem Sigaram,Active,35,227856,1,0
Zone 5,2982,Salem Steel City,Active,11,227589,0,0
Zone 5,2982,Salem Success,Active,18,226403,0,0
Zone 5,2982,Salem Sunrise,Active,17,226405,0,0
Zone 5,2982,Salem Sunstar,Active,23,73402,0,0
Zone 5,2982,Salem Texcity,Active,56,63034,0,0
Zone 5,2982,Salem Wonderful,Active,28,227061,0,0
Zone 5,2982,Salem Young Town,Active,9,85551,1,0
Zone 5,2982,Sankarapuram,Active,77,29651,0,0
Zone 5,2982,Thalaivasal,Active,56,86962,0,0
Zone 5,2982,Thiyagadurgam,Active,31,224937,0,0
Zone 5,2982,Tindivanam Elite,Active,18,227121,0,0
Zone 5,2982,Tiruchengode,Active,68,15892,0,0
Zone 5,2982,Tiruchengode Redrock,Active,38,72970,0,0
Zone 5,2982,Tiruchengode Sangamam,Active,28,91235,0,0
Zone 5,2982,Tiruchengodu Hi-Tech,Active,26,82822,5,0
Zone 5,2982,Tirukkoyilur Temple City,Active,49,224847,0,0
Zone 5,3000,Alangudi,Active,39,30181,0,0
Zone 5,3000,Alangudi Central,Active,23,80712,0,0
Zone 5,3000,Andipatti,Active,45,85163,0,0
Zone 5,3000,Annavasal Annapparavai,Active,25,227615,0,0
Zone 5,3000,Arantangi The Fort City,Active,20,87720,1,0
Zone 5,3000,Aranthai Friends,Active,40,222294,0,0
Zone 5,3000,Aranthai Royal,Active,15,228093,0,0
Zone 5,3000,Aravakkurichi,Active,13,225734,0,0
Zone 5,3000,Ariyalur,Active,101,15907,0,0
Zone 5,3000,Batlagundu New Generation,Active,55,82250,1,0
Zone 5,3000,Bodinayakkanur,Active,16,27418,0,0
Zone 5,3000,Bodi Western Ghats,Active,25,227112,0,0
Zone 5,3000,Bodi Western Ghats Feathers,Active,25,227659,0,0
Zone 5,3000,Cauvery Tiruchirapalli,Active,14,27248,0,0
Zone 5,3000,Chinnalapatti Dream,Active,13,227214,0,0
Zone 5,3000,Chinnamanur Central,Active,19,226081,0,0
Zone 5,3000,Chinnamanur Green City,Active,23,88681,0,0
Zone 5,3000,Cumbum Green Valley,Active,60,80891,0,0
Zone 5,3000,Dindigul Aram,Active,12,225940,0,0
Zone 5,3000,Dindigul Central,Active,26,61066,0,0
Zone 5,3000,Dindigul Dreams,Active,16,227226,0,0
Zone 5,3000,Dindigul Miracle,Active,10,227187,0,0
Zone 5,3000,Gandarvakottai Vaagai,Active,9,226816,0,0
Zone 5,3000,Gandharvakottai Bharath,Active,32,83322,1,0
Zone 5,3000,Inamkulathur,Active,15,228152,0,0
Zone 5,3000,Jayakondam Best,Active,15,228236,0,0
Zone 5,3000,Karur Amaravathi,Active,23,86171,0,0
Zone 5,3000,Karur Central,Active,26,59133,1,0
Zone 5,3000,Karur Cheran,Active,33,86977,0,0
Zone 5,3000,Karur Pugazhi,Active,24,227557,0,0
Zone 5,3000,Karur Texcity,Active,160,31479,2,0
Zone 5,3000,Kattur,Active,52,15919,0,0
Zone 5,3000,Lalgudi,Active,17,228122,0,0
Zone 5,3000,Lalgudi Stars,Active,16,228230,0,0
Zone 5,3000,Madurai,Active,51,15926,0,0
Zone 5,3000,Madurai Classic,Active,34,225918,0,0
Zone 5,3000,Madurai Innovators,Active,63,87882,1,0
Zone 5,3000,Madurai Jallikattu,Active,34,225567,0,0
Zone 5,3000,Madurai Kadambavanam,Active,63,228182,0,0
Zone 5,3000,Madurai Kings City,Active,32,82063,0,0
Zone 5,3000,Madurai Majesty,Active,26,227419,0,0
Zone 5,3000,Madurai Matrix,Active,50,227235,0,0
Zone 5,3000,Madurai Next Gen,Active,59,85234,1,0
Zone 5,3000,Madurai North,Active,74,50621,7,0
Zone 5,3000,Madurai Pandian,Active,17,86952,0,0
Zone 5,3000,Madurai Paramount,Active,20,225654,0,0
Zone 5,3000,Madurai Royal,Active,29,223240,0,0
Zone 5,3000,Madurai Royal Kings,Active,11,227219,0,0
Zone 5,3000,Madurai Sporting Amigos,Active,40,224502,0,0
Zone 5,3000,Madurai Star,Active,35,85951,1,0
Zone 5,3000,Madurai Tamil Sangam,Active,11,227005,0,0
Zone 5,3000,Malaiyur,Active,27,227607,0,0
Zone 5,3000,Manaparai Dreams,Active,11,227240,0,0
Zone 5,3000,Manapparai,Active,56,28481,0,0
Zone 5,3000,Manapparai Next Gen,Active,25,227263,0,0
Zone 5,3000,Manapparai West,Active,8,84014,0,0
Zone 5,3000,Manavai Kings,Active,21,88219,0,0
Zone 5,3000,Melur,Active,21,228094,0,0
Zone 5,3000,Musiri Green City,Active,12,227234,0,0
Zone 5,3000,Musiri Stars,Active,20,228234,0,0
Zone 5,3000,New Majestic Pudukkottai,Active,17,70896,0,0
Zone 5,3000,Nilakottai Gems Golden City,Active,10,88873,0,0
Zone 5,3000,Oddanchatram Elite,Active,16,225607,0,0
Zone 5,3000,Pallapatti Central,Active,20,60973,0,0
Zone 5,3000,Pattiveeranpatti Pride,Active,14,225811,0,0
Zone 5,3000,Perambalur Achievers,Active,17,228124,0,0
Zone 5,3000,Perambalur Cotton City,Active,17,223120,0,0
Zone 5,3000,Perambalur New Gen,Active,25,84016,0,0
Zone 5,3000,Perambalur Pillars,Active,18,228229,0,0
Zone 5,3000,Perambalur Sigaram,Active,17,227825,0,0
Zone 5,3000,Pudugai Vetri,Active,27,227937,0,0
Zone 5,3000,Pudukkottai Dreams Fort,Active,25,227244,0,0
Zone 5,3000,Pudukkottai Metro,Active,34,227596,0,0
Zone 5,3000,Pudukkottai Midtown,Active,14,57062,1,0
Zone 5,3000,Pudukkottai Palace City,Active,54,50212,0,0
Zone 5,3000,Pudukkottai Perarasu,Active,471,227959,0,0
Zone 5,3000,Sendurai,Active,22,227291,0,0
Zone 5,3000,Somarasampettai,Active,15,228154,0,0
Zone 5,3000,Tharagampatty,Active,20,228167,0,0
Zone 5,3000,Theni Sangamam,Active,26,83519,0,0
Zone 5,3000,Theni Thozha,Active,20,228250,0,0
Zone 5,3000,Theni United Inspirers,Active,14,227335,1,0
Zone 5,3000,Theni Vaigai Siragugal,Active,14,227207,0,0
Zone 5,3000,Thirumayam Fort,Active,31,225655,0,0
Zone 5,3000,Thiruvappur,Active,25,228161,0,0
Zone 5,3000,Thogaimalai,Active,21,227456,0,0
Zone 5,3000,Thuraiyur,Active,73,21317,0,0
Zone 5,3000,Thuraiyur Sri Tirumala,Active,25,227093,0,0
Zone 5,3000,Thuvarankurichi,Active,26,227339,0,0
Zone 5,3000,Tiruchirapalli Fort,Active,100,15950,5,0
Zone 5,3000,Tiruchirapalli Greater,Active,3,223131,1,0
Zone 5,3000,Tiruchirapalli Metro,Active,33,31727,0,0
Zone 5,3000,Tiruchirapalli Metropolitan,Active,10,88931,0,0
Zone 5,3000,Tiruchirappalli Eye Donation,Active,20,225912,0,0
Zone 5,3000,Tiruchirappalli Visionaries,Active,26,228218,0,0
Zone 5,3000,Tiruchi Thamizhachi,Active,10,89934,0,0
Zone 5,3000,Tiruchy Central,Active,38,61144,0,0
Zone 5,3000,Tiruchy Sangamam,Active,14,227609,0,0
Zone 5,3000,Tirumangalam,Active,23,86664,1,0
Zone 5,3000,Tiruverumpur Barath,Active,18,53972,0,0
Zone 5,3000,T. Palur,Active,15,227311,0,0
Zone 5,3000,Trichirapalli North,Active,18,84975,0,0
Zone 5,3000,Trichy Clouds,Active,13,91252,0,0
Zone 5,3000,Trichy Delta,Active,18,227190,0,0
Zone 5,3000,Trichy Dreamers,Active,80,227141,0,0
Zone 5,3000,Trichy Kings,Active,8,90711,0,0
Zone 5,3000,Trichy Legends,Active,20,227480,0,0
Zone 5,3000,Trichy Majestic,Active,42,227329,0,0
Zone 5,3000,Trichy Nexus,Active,25,228249,0,0
Zone 5,3000,Trichy One Health,Active,39,227754,4,0
Zone 5,3000,Trichy Pioneers,Active,15,228153,0,0
Zone 5,3000,Trichy Rainbow,Active,26,228198,0,0
Zone 5,3000,Trichy River Town,Active,15,225527,0,0
Zone 5,3000,Trichy River Town Gen Z,Active,15,228078,0,0
Zone 5,3000,Trichy Royal Kings,Active,25,228216,0,0
Zone 5,3000,Trichy Thalir Thalaimurai,Active,15,228241,0,0
Zone 5,3000,Trichy Thendral,Active,15,226163,0,0
Zone 5,3000,Trichy Titans,Active,29,228203,0,0
Zone 5,3000,Trichy Tolgate Central,Active,25,228253,0,0
Zone 5,3000,Trichy Wings,Active,25,228246,0,0
Zone 5,3000,Trichy Zhagaram,Active,31,228240,0,0
Zone 5,3000,Usilampatti,Active,25,84532,0,0
Zone 5,3000,Varadarajanpettai,Active,15,228155,0,0
Zone 5,3000,Vathalagundu,Active,13,223034,1,0
Zone 5,3000,Viralimalai,Active,15,228089,0,0
Zone 4,3011,Activa Delhi,Active,18,225327,1,0
Zone 4,3011,Central Youth Shakti (Faridabad),Active,5,223054,0,0
Zone 4,3011,Delhi Adiva,Active,39,225488,0,0
Zone 4,3011,Delhi Aura,Active,12,226157,0,0
Zone 4,3011,Delhi Cama Place,Active,21,25232,0,0
Zone 4,3011,Delhi Compassion and Hope,Active,32,225825,1,0
Zone 4,3011,Delhi Divine Aces,Active,25,228222,0,0
Zone 4,3011,Delhi Dynamic,Active,23,225449,0,0
