ZONE,DISTRICT,Club ID,Club Name,Club Type,Club Model,Club Subtype,Club Charter Date,Member Count,Current Zone,Verify,RI Zone,District,Sponsor Clubs,sponsorClubs
6,3120,8828593,EYS Prayagraj,Rotaract Club,,Community,23-Jul-2026,12,6,Yes,Zone 6,3120,Prayagraj Sangam (Rotary),Prayagraj Sangam (Rotary)
6,3120,8828595,Allahabad University,Rotaract Club,,University,23-Jul-2026,15,6,Yes,Zone 6,3120,Allahabad Elite (Rotary),Allahabad Elite (Rotary)
6,3120,8828596,Renaissance Allahabad,Rotaract Club,,Community,23-Jul-2026,13,6,Yes,Zone 6,3120,Allahabad Academia (Rotary),Allahabad Academia (Rotary)
6,3120,8828598,Motilal Nehru NIT College,Rotaract Club,,University,23-Jul-2026,25,6,Yes,Zone 6,3120,Allahabad Elite (Rotary),Allahabad Elite (Rotary)
6,3120,8828599,Motilal Nehru Medical College,Rotaract Club,,University,23-Jul-2026,16,6,Yes,Zone 6,3120,Allahabad Elite (Rotary),Allahabad Elite (Rotary)
6,3120,8828611,Varanasi Rudra,Rotaract Club,,Community,29-Jul-2026,12,6,Yes,Zone 6,3120,Varanasi Central (Rotary),Varanasi Central (Rotary)
6,3120,8828616,Prayagraj Initiator,Rotaract Club,,Community,29-Jul-2026,21,6,Yes,Zone 6,3120,Allahabad Mid-Town (Rotary),Allahabad Mid-Town (Rotary)
4,3141,8828554,Mumbai Malabar Hill Coast,Rotaract Club,,Community,20-Jul-2026,19,4,Yes,Zone 4,3141,Mumbai Malabar Hill (Rotary),Mumbai Malabar Hill (Rotary)
4,3141,8828562,Mumbai Bhandup,Rotaract Club,,Community,20-Jul-2026,22,4,Yes,Zone 4,3141,Mumbai-Bhandup (Rotary),Mumbai-Bhandup (Rotary)
4,3141,8828586,Mumbai Spark,Rotaract Club,,Community,27-Jul-2026,13,4,Yes,Zone 4,3141,Addiction Prevention 3141 (Rotary); Mumbai Mulund East (Rotary),Addiction Prevention 3141 (Rotary); Mumbai Mulund East (Rotary)
4,3141,8828592,Mumbai JVLR Connect,Rotaract Club,,Community,23-Jul-2026,15,4,Yes,Zone 4,3141,Mumbai Sher-E-Punjab (Rotary),Mumbai Sher-E-Punjab (Rotary)
7,3150,8828575,Hyderabad Emerald,Rotaract Club,,Community,24-Jul-2026,17,7,Yes,Zone 7,3150,Hyderabad Emerald (Rotary),Hyderabad Emerald (Rotary)
7,3170,8828571,Twin City,Rotaract Club,,Community,20-Jul-2026,15,7,Yes,Zone 7,3170,Hubli South (Rotary),Hubli South (Rotary)
7,3170,8828572,Anandibai Raorane College Vaibhavwadi,Rotaract Club,,University,24-Jul-2026,15,7,Yes,Zone 7,3170,Vaibhavwadi (Rotary),Vaibhavwadi (Rotary)
7,3170,8828576,Vengurla,Rotaract Club,,Community,24-Jul-2026,13,7,Yes,Zone 7,3170,,
7,3170,8828577,Kudal,Rotaract Club,,Community,24-Jul-2026,16,7,Yes,Zone 7,3170,Kudal (Rotary),Kudal (Rotary)
7,3170,8828578,Vishrambag Zenith,Rotaract Club,,Community,24-Jul-2026,14,7,Yes,Zone 7,3170,Vishrambag (Rotary),Vishrambag (Rotary)
7,3170,8828579,Smt. A.R.P. Kanya Mahavidyalaya Ichalkaranji,Rotaract Club,,University,24-Jul-2026,14,7,Yes,Zone 7,3170,Smart City Kolhapur (Rotary),Smart City Kolhapur (Rotary)
7,3170,8828581,Kumta Coastal,Rotaract Club,,Community,24-Jul-2026,16,7,Yes,Zone 7,3170,Kumta (Rotary),Kumta (Rotary)
7,3170,8828582,Kolhapur Legacy,Rotaract Club,,Community,24-Jul-2026,12,7,Yes,Zone 7,3170,Kolhapur Sunrise (Rotary),Kolhapur Sunrise (Rotary)
7,3170,8828601,Karwar,Rotaract Club,,Community,29-Jul-2026,14,7,Yes,Zone 7,3170,Karwar (Rotary),Karwar (Rotary)
7,3170,8828602,SSA Government College and Research Center Pernem,Rotaract Club,,University,29-Jul-2026,28,7,Yes,Zone 7,3170,Mapusa Elegance (Rotary),Mapusa Elegance (Rotary)
7,3170,8828603,Don Bosco College Panjim,Rotaract Club,,University,29-Jul-2026,17,7,Yes,Zone 7,3170,Panaji Riviera (Rotary),Panaji Riviera (Rotary)
7,3170,8828606,Oxford Group of Institutions,Rotaract Club,,University,31-Jul-2026,12,7,Yes,Zone 7,3170,Hubli Central (Rotary),Hubli Central (Rotary)
7,3170,8828610,"KLE's Degree College, Ankali",Rotaract Club,,University,31-Jul-2026,25,7,Yes,Zone 7,3170,Chikodi (Rotary),Chikodi (Rotary)
7,3170,8828612,KLE MCA PCJSC,Rotaract Club,,University,31-Jul-2026,20,7,Yes,Zone 7,3170,Hubli Vidyanagar (Rotary),Hubli Vidyanagar (Rotary)
7,3170,8828613,Kankavli,Rotaract Club,,Community,29-Jul-2026,15,7,Yes,Zone 7,3170,Kankavali Central (Rotary),Kankavali Central (Rotary)
7,3170,8828621,Kharepatan,Rotaract Club,,Community,07-Aug-2026,12,7,Yes,Zone 7,3170,Kharepatan (Rotary),Kharepatan (Rotary)
7,3170,8828624,Sanjeevini Ayurveda Medical College & Hospital Elite,Rotaract Club,,University,07-Aug-2026,4,7,Yes,Zone 7,3170,Hubli Elite (Rotary),Hubli Elite (Rotary)
7,3170,8828626,Sridora Caculo College of Commerce & Management Studies,Rotaract Club,,University,07-Aug-2026,4,7,Yes,Zone 7,3170,Mapusa (Rotaract),Mapusa (Rotaract)
7,3170,8828627,GFGC for Women Karwar,Rotaract Club,,University,03-Aug-2026,4,7,Yes,Zone 7,3170,Karwar Seaside (Rotary),Karwar Seaside (Rotary)
7,3170,8828630,SDM Dental Impact,Rotaract Club,,University,03-Aug-2026,4,7,Yes,Zone 7,3170,Hubli Vidyanagar (Rotary),Hubli Vidyanagar (Rotary)
7,3170,8828631,MES Vasant Joshi College of Arts and Commerce,Rotaract Club,,University,03-Aug-2026,4,7,Yes,Zone 7,3170,Vasco Da Gama (Rotaract),Vasco Da Gama (Rotaract)
7,3181,8828608,Mysore North,Rotaract Club,,Community,30-Jul-2026,15,7,Yes,Zone 7,3181,Mysore North (Rotary),Mysore North (Rotary)
7,3182,8828568,Manipal College of Dental Sciences,Rotaract Club,,University,20-Jul-2026,20,7,Yes,Zone 7,3182,Manipal (Rotary),Manipal (Rotary)
7,3191,8828567,Bengaluru Binnypet,Rotaract Club,,Community,20-Jul-2026,15,7,Yes,Zone 7,3191,Bengaluru Upkar (Rotary); Koramangala (Rotaract),Bengaluru Upkar (Rotary); Koramangala (Rotaract)
7,3192,8828574,MKPM RV Institute of Legal Studies,Rotaract Club,,University,13-Jul-2026,29,7,Yes,Zone 7,3192,Bangalore Brigades (Rotary),Bangalore Brigades (Rotary)
5,3203,8828569,Sri Vasavi College (Self Finance Wing),Rotaract Club,,University,13-Jul-2026,25,5,Yes,Zone 5,3203,Erode Nexus (Rotary),Erode Nexus (Rotary)
5,3203,8828570,Cauvery Nexus,Rotaract Club,,Community,08-Jul-2026,12,5,Yes,Zone 5,3203,Erode Nexus (Rotary),Erode Nexus (Rotary)
5,3203,8828573,Kongu Naturopathy and Yoga Medical College,Rotaract Club,,University,13-Jul-2026,25,5,Yes,Zone 5,3203,Erode Nexus (Rotary),Erode Nexus (Rotary)
5,3203,8828623,Tirupur Smart Unity,Rotaract Club,,Community,06-Aug-2026,4,5,Yes,Zone 5,3203,Tirupur Smart City (Rotary),Tirupur Smart City (Rotary)
5,3203,8828632,Tiruppur Maniax,Rotaract Club,,Community,04-Aug-2026,3,5,Yes,Zone 5,3203,Tirupur Smart City (Rotary),Tirupur Smart City (Rotary)
6,3250,8828547,Ranchi Elites,Rotaract Club,,Community,08-Jul-2026,10,6,Yes,Zone 6,3250,,
6,3250,8828548,Amolwa,Rotaract Club,,Community,08-Jul-2026,20,6,Yes,Zone 6,3250,,
6,3261,8828585,Bhilai Greater,Rotaract Club,,Community,23-Jul-2026,16,6,Yes,Zone 6,3261,Bhilai Greater (Rotary),Bhilai Greater (Rotary)
6,3261,8828591,Raipur Queens,Rotaract Club,,Community,23-Jul-2026,26,6,Yes,Zone 6,3261,Raipur Queens (Rotary),Raipur Queens (Rotary)
6,3261,8828609,Raipur Ethos,Rotaract Club,,Community,29-Jul-2026,15,6,Yes,Zone 6,3261,Raipur Elegance (Rotary),Raipur Elegance (Rotary)
6,3262,8828588,Brahmapur Innovative,Rotaract Club,,Community,23-Jul-2026,17,6,Yes,Zone 6,3262,Brahmapur Innovative (Rotary),Brahmapur Innovative (Rotary)
6,3262,8828594,Bhubaneswar Jayadev,Rotaract Club,,Community,23-Jul-2026,12,6,Yes,Zone 6,3262,E-Club of District 3262 (Rotary),E-Club of District 3262 (Rotary)
