ZONE,DISTRICT,Club ID,Club Name,Club Type,Club Model,Club Subtype,Club Charter Date,Member Count,Current Zone,Verify,RI Zone,District,Sponsor Clubs,sponsorClubs
5,2982,8828580,Valapady,Rotaract Club,,Community,14-Jul-2026,17,5,Yes,Zone 5,2982,Salem City (Rotary),Salem City (Rotary)
5,2982,8828622,Hosur Dynamic,Rotaract Club,,Community,10-Aug-2026,14,5,Yes,Zone 5,2982,Hosur Legends (Rotary),Hosur Legends (Rotary)
5,2982,8828633,Shri Sakthikailassh Women's College,Rotaract Club,,University,05-Aug-2026,4,5,Yes,Zone 5,2982,Salem Sigaram (Rotary),Salem Sigaram (Rotary)
5,2982,8828634,Sivaraj Medical College Salem,Rotaract Club,,University,07-Aug-2026,4,5,Yes,Zone 5,2982,Salem Happy (Rotary),Salem Happy (Rotary)
4,3011,8828587,Delhi Catalyst,Rotaract Club,,Community,23-Jul-2026,12,4,Yes,Zone 4,3011,,
4,3011,8828605,Delhi Imperia,Rotaract Club,,Community,29-Jul-2026,15,4,Yes,Zone 4,3011,Delhi Imperia (Rotary),Delhi Imperia (Rotary)
4,3012,8828589,Inmantec Institution,Rotaract Club,,University,24-Jul-2026,14,4,Yes,Zone 4,3012,Sahibabad (Rotary),Sahibabad (Rotary)
4,3012,8828604,IIMT College of Engineering,Rotaract Club,,University,29-Jul-2026,23,4,Yes,Zone 4,3012,Greater Noida (Rotary),Greater Noida (Rotary)
4,3012,8828607,Ram Chameli Chadha Vishvas Girls College,Rotaract Club,,University,29-Jul-2026,26,4,Yes,Zone 4,3012,Ghaziabad (North) (Rotary),Ghaziabad (North) (Rotary)
4,3012,8828619,Ajay Kumar Garg Institute of Management,Rotaract Club,,University,31-Jul-2026,12,4,Yes,Zone 4,3012,Ghaziabad (Rotary),Ghaziabad (Rotary)
4,3012,8828620,Ghaziabad Altruism,Rotaract Club,,Community,03-Aug-2026,13,4,Yes,Zone 4,3012,Ghaziabad Greater Next (Rotary),Ghaziabad Greater Next (Rotary)
6,3030,8828558,Orange City Nagpur,Rotaract Club,,Community,20-Jul-2026,13,6,Yes,Zone 6,3030,Nagpur Friends (Rotary),Nagpur Friends (Rotary)
4,3060,8828617,Valsad Rangers,Rotaract Club,,Community,03-Aug-2026,21,4,Yes,Zone 4,3060,Valsad Rangers (Rotary),Valsad Rangers (Rotary)
6,3120,8828553,Integrated Federation of Social Activist & Doctors,Rotaract Club,,Community,16-Jul-2026,12,6,Yes,Zone 6,3120,Prayagraj Sangam (Rotary),Prayagraj Sangam (Rotary)
6,3120,8828590,State Unani Medical College,Rotaract Club,,University,23-Jul-2026,15,6,Yes,Zone 6,3120,Allahabad Elite (Rotary),Allahabad Elite (Rotary)
