District,Clubs,Members,RotaryClubs,RotaryMembers,InteractClubs
3160,34,209,79,"2,428",103
3170,108,"1,285",142,"6,216",294
3181,57,877,91,"3,628",193
3182,54,431,89,"3,864",186
3191,83,"1,854",100,"3,458",256
3192,86,"2,036",93,"3,686",237
3203,71,"1,449",119,"5,817",228
3204,26,252,98,"2,935",31
3205,38,630,105,"3,759",59
3206,104,"1,747",77,"3,118",85
3211,33,507,164,"5,262",61
3212,86,628,122,"4,584",299
3220,95,"4,144",72,"1,967",158
3231,44,959,97,"3,449",176
3233,70,"5,835",92,"3,153",93
3234,74,"1,876",84,"3,351",163
3240,56,823,98,"3,298",103
3250,40,546,120,"4,281",115
3261,17,98,92,"3,498",53
3262,73,646,121,"3,970",685
3271,30,300,98,"1,367",288
3291,0,0,142,"3,699",127
3292,189,"4,459",164,"5,332",149
3300,35,"1,416",89,"2,017",139
3310,22,425,77,"2,287",111
3330,12,118,103,"2,165",95
3340,2,17,61,"1,182",3
3350,41,700,128,"2,984",41
3360,13,168,65,"1,229",17
3410,12,211,45,"1,099",5
3420,22,216,65,"1,259",31
3450,68,"1,047",120,"2,622",114
3461,11,217,71,"3,026",17
3462,9,163,63,"2,468",19
3470,8,110,83,"2,714",19
3481,15,181,105,"3,073",17
3482,18,244,95,"2,773",14
3490,12,159,107,"4,323",36
3501,5,52,94,"2,824",6
3502,10,197,79,"2,730",8
3510,13,139,99,"3,319",13
3521,12,160,65,"2,279",9
3522,29,423,91,"3,275",21
3523,15,205,80,"2,328",7
3590,6,68,79,"3,264",27
3600,8,474,90,"3,697",17
3610,5,196,91,"4,211",29
3620,18,359,86,"2,996",23
3630,28,201,118,"5,141",60
3640,9,118,73,"3,298",17
3650,17,112,80,"1,783",10
3661,13,39,74,"2,096",13
3662,4,86,79,"3,450",15
3670,11,106,79,"3,533",41
3680,13,319,81,"3,061",8
3690,14,576,91,"2,629",16
3700,7,177,91,"2,514",17
3710,15,152,84,"2,986",15
3721,5,180,61,"1,906",13
3722,4,39,59,"2,170",13
